x,y,angle,distance
0.0,0.0,0.7854,0.0
0.0707,0.0707,0.7854,0.1
0.1414,0.1414,0.7854,0.2
0.2121,0.2121,0.7854,0.3
0.2828,0.2828,0.7854,0.4
0.3536,0.3535,0.7854,0.5
0.4243,0.4243,0.7853,0.6
0.495,0.495,0.7853,0.7
0.5657,0.5657,0.7853,0.8
0.6364,0.6364,0.7853,0.9
0.7071,0.7071,0.7852,1.0
0.7779,0.7778,0.7852,1.1
0.8486,0.8485,0.7852,1.2
0.9193,0.9192,0.7851,1.3
0.99,0.9899,0.7851,1.4
1.0608,1.0605,0.785,1.5
1.1315,1.1312,0.785,1.6
1.2023,1.2019,0.7849,1.7
1.273,1.2726,0.7849,1.8
1.3437,1.3433,0.7848,1.9
1.4145,1.4139,0.7848,2.0
1.4853,1.4846,0.7847,2.1
1.556,1.5553,0.7846,2.2
1.6268,1.6259,0.7846,2.3
1.6975,1.6966,0.7845,2.4
1.7683,1.7672,0.7844,2.5
1.8391,1.8379,0.7843,2.6
1.9099,1.9085,0.7843,2.7
1.9807,1.9791,0.7842,2.8
2.0515,2.0497,0.7841,2.9
2.1223,2.1204,0.784,3.0
2.1931,2.191,0.7839,3.1
2.2639,2.2616,0.7838,3.2
2.3347,2.3322,0.7837,3.3
2.4056,2.4028,0.7836,3.4
2.4764,2.4734,0.7835,3.5
2.5472,2.5439,0.7834,3.6
2.6181,2.6145,0.7833,3.7
2.689,2.6851,0.7832,3.8
2.7598,2.7556,0.783,3.9
2.8307,2.8262,0.7829,4.0
2.9016,2.8967,0.7828,4.1
2.9725,2.9672,0.7827,4.2
3.0434,3.0377,0.7825,4.3
3.1143,3.1082,0.7824,4.4
3.1852,3.1787,0.7823,4.5
3.2561,3.2492,0.7821,4.6
3.3271,3.3197,0.782,4.7
3.398,3.3902,0.7818,4.8
3.469,3.4606,0.7817,4.9
3.54,3.5311,0.7815,5.0
3.611,3.6015,0.7814,5.1
3.6819,3.672,0.7812,5.2
3.753,3.7424,0.7811,5.3
3.824,3.8128,0.7809,5.4
3.895,3.8832,0.7807,5.5
3.966,3.9535,0.7806,5.6
4.0371,4.0239,0.7804,5.7
4.1082,4.0943,0.7802,5.8
4.1792,4.1646,0.78,5.9
4.2503,4.2349,0.7798,6.0
4.3214,4.3053,0.7797,6.1
4.3925,4.3756,0.7795,6.2
4.4637,4.4458,0.7793,6.3
4.5348,4.5161,0.7791,6.4
4.606,4.5864,0.7789,6.5
4.6771,4.6566,0.7787,6.6
4.7483,4.7269,0.7785,6.7
4.8195,4.7971,0.7783,6.8
4.8907,4.8673,0.778,6.9
4.962,4.9375,0.7778,7.0
5.0332,5.0076,0.7776,7.1
5.1045,5.0778,0.7774,7.2
5.1757,5.1479,0.7771,7.3
5.247,5.2181,0.7769,7.4
5.3183,5.2882,0.7767,7.5
5.3897,5.3583,0.7764,7.6
5.461,5.4283,0.7762,7.7
5.5324,5.4984,0.776,7.8
5.6037,5.5684,0.7757,7.9
5.6751,5.6385,0.7755,8.0
5.7465,5.7085,0.7752,8.1
5.818,5.7785,0.775,8.2
5.8894,5.8484,0.7747,8.3
5.9609,5.9184,0.7744,8.4
6.0324,5.9883,0.7742,8.5
6.1039,6.0582,0.7739,8.6
6.1754,6.1281,0.7736,8.7
6.2469,6.198,0.7733,8.8
6.3185,6.2678,0.7731,8.9
6.3901,6.3377,0.7728,9.0
6.4617,6.4075,0.7725,9.1
6.5333,6.4773,0.7722,9.2
6.6049,6.547,0.7719,9.3
6.6766,6.6168,0.7716,9.4
6.7483,6.6865,0.7713,9.5
6.82,6.7562,0.771,9.6
6.8917,6.8259,0.7707,9.7
6.9634,6.8956,0.7704,9.8
7.0352,6.9652,0.77,9.9
7.107,7.0348,0.7697,10.0
7.1788,7.1044,0.7694,10.1
7.2506,7.174,0.7691,10.2
7.3225,7.2435,0.7687,10.3
7.3944,7.3131,0.7684,10.4
7.4663,7.3826,0.7681,10.5
7.5382,7.452,0.7677,10.6
7.6101,7.5215,0.7674,10.7
7.6821,7.5909,0.767,10.8
7.7541,7.6603,0.7667,10.9
7.8261,7.7297,0.7663,11.0
7.8982,7.799,0.7659,11.1
7.9703,7.8683,0.7656,11.2
8.0424,7.9376,0.7652,11.3
8.1145,8.0069,0.7648,11.4
8.1866,8.0761,0.7645,11.5
8.2588,8.1454,0.7641,11.6
8.331,8.2145,0.7637,11.7
8.4032,8.2837,0.7633,11.8
8.4755,8.3528,0.7629,11.9
8.5478,8.4219,0.7625,12.0
8.6201,8.491,0.7621,12.1
8.6924,8.5601,0.7617,12.2
8.7648,8.6291,0.7613,12.3
8.8372,8.6981,0.7609,12.4
8.9096,8.767,0.7605,12.5
8.9821,8.8359,0.76,12.6
9.0545,8.9048,0.7596,12.7
9.1271,8.9737,0.7592,12.8
9.1996,9.0425,0.7588,12.9
9.2722,9.1113,0.7583,13.0
9.3448,9.1801,0.7579,13.1
9.4174,9.2488,0.7574,13.2
9.4901,9.3175,0.757,13.3
9.5627,9.3862,0.7565,13.4
9.6355,9.4549,0.7561,13.5
9.7082,9.5235,0.7556,13.6
9.781,9.592,0.7551,13.7
9.8538,9.6606,0.7547,13.8
9.9267,9.7291,0.7542,13.9
9.9996,9.7975,0.7537,14.0
10.0725,9.866,0.7532,14.1
10.1454,9.9344,0.7527,14.2
10.2184,10.0027,0.7522,14.3
10.2914,10.0711,0.7517,14.4
10.3645,10.1394,0.7512,14.5
10.4376,10.2076,0.7507,14.6
10.5107,10.2758,0.7502,14.7
10.5838,10.344,0.7497,14.8
10.657,10.4121,0.7492,14.9
10.7303,10.4802,0.7486,15.0
10.8035,10.5483,0.7481,15.1
10.8768,10.6163,0.7476,15.2
10.9501,10.6843,0.747,15.3
11.0235,10.7523,0.7465,15.4
11.0969,10.8202,0.7459,15.5
11.1704,10.888,0.7454,15.6
11.2439,10.9559,0.7448,15.7
11.3174,11.0237,0.7443,15.8
11.3909,11.0914,0.7437,15.9
11.4645,11.1591,0.7431,16.0
11.5382,11.2268,0.7425,16.1
11.6118,11.2944,0.7419,16.2
11.6856,11.3619,0.7414,16.3
11.7593,11.4295,0.7408,16.4
11.8331,11.497,0.7402,16.5
11.9069,11.5644,0.7396,16.6
11.9808,11.6318,0.7389,16.7
12.0547,11.6991,0.7383,16.8
12.1287,11.7665,0.7377,16.9
12.2027,11.8337,0.7371,17.0
12.2767,11.9009,0.7365,17.1
12.3508,11.9681,0.7358,17.2
12.425,12.0352,0.7352,17.3
12.4991,12.1023,0.7345,17.4
12.5733,12.1693,0.7339,17.5
12.6476,12.2363,0.7332,17.6
12.7219,12.3032,0.7326,17.7
12.7962,12.3701,0.7319,17.8
12.8706,12.4369,0.7312,17.9
12.9451,12.5037,0.7305,18.0
13.0196,12.5704,0.7299,18.1
13.0941,12.6371,0.7292,18.2
13.1687,12.7037,0.7285,18.3
13.2433,12.7703,0.7278,18.4
13.3179,12.8368,0.727,18.5
13.3927,12.9033,0.7264,18.6
13.4674,12.9697,0.7256,18.7
13.5422,13.0361,0.7249,18.8
13.6171,13.1024,0.7242,18.9
