x,y
100,-2
100.6249542,-2
101.2499008,-2
101.8748093,-2
102.499649,-2
103.1244202,-2
103.749115,-2
104.3737564,-2
104.9983673,-2
105.6229706,-2
106.2475967,-2
106.8722763,-2
107.4970169,-2
108.1218185,-2
108.7466812,-2
109.3715668,-2
109.99646,-2
110.6213303,-2
111.2461624,-2
111.8709335,-2
112.4956589,-2
113.1203308,-2
113.7449722,-2
114.369606,-2
114.9942398,-2
115.6188965,-2
116.2435989,-2
116.8683472,-2
117.4931488,-2
118.1180038,-2
118.7428894,-2
119.3678055,-2
119.9927292,-2
120.6176376,-2
121.2425232,-2
121.867363,-2
122.492157,-2
123.1169128,-2
123.7416382,-2
124.3663559,-2
124.9910889,-2
125.6158447,-2
126.240654,-2
126.8655243,-2
127.490448,-2
128.1154175,-2
128.7404327,-2
129.365448,-2
129.9904785,-2
130.6154938,-2
131.2404785,-2
131.8654327,-2
132.4903412,-2
133.1152344,-2
133.7401123,-2
134.3649902,-2
134.9898834,-2
135.6147919,-2
136.2397614,-2
136.8647614,-2
137.4898376,-2
138.1149445,-2
138.7401123,-2
139.3652954,-2
139.990509,-2
140.6157074,-2
141.2408905,-2
141.8660431,-2
142.4911804,-2
143.1163025,-2
143.741394,-2
144.3665009,-2
144.9916229,-2
145.6167908,-2
146.2419891,-2
146.8672485,-2
147.492569,-2
148.1179352,-2
148.7433319,-2
149.3687744,-2
149.9942474,-2
150.6197205,-2
151.2452087,-2
151.8707581,-2
152.4963379,-2
153.1219788,-2
153.7476654,-2
154.3734283,-2
154.9992065,-2
155.6249695,-2
156.2507324,-2
156.8764496,-2
157.5021362,-2
158.1278076,-2
158.7534637,-2
159.3791351,-2
160.0048065,-2
160.6305084,-2
161.2562408,-2
161.8820038,-2
162.5078125,-2
163.133667,-2
163.7595825,-2
164.3855438,-2
165.0115356,-2
165.637558,-2
166.2635803,-2
166.8896027,-2
167.5156097,-2
168.1416016,-2
168.7675934,-2
169.3936005,-2
170.0196381,-2
170.6457367,-2
171.2718811,-2
171.8981018,-2
172.524353,-2
173.1506348,-2
173.776947,-2
174.4032593,-2
175.0295715,-2
175.655899,-2
176.2822266,-2
176.9085846,-2
177.5349731,-2
178.1614227,-2
178.7879028,-2
179.414444,-2
180.0410156,-2
180.6676483,-2
181.2943115,-2
181.9210052,-2
182.5477448,-2
183.1745148,-2
183.8013,-2
184.4280853,-2
185.0549011,-2
185.6817169,-2
186.308548,-2
186.935379,-2
187.5622559,-2
188.1891632,-2
188.8161316,-2
189.443161,-2
190.070282,-2
190.697464,-2
191.324707,-2
191.9519958,-2
192.5793304,-2
193.2066956,-2
193.8340607,-2
194.4614258,-2
