x,y
0,0
0,0
0.011,-0.00832
0.011,-0.00832
0.011999999,-0.02522
0.011999999,-0.01677
0.011999999,-0.03367
0.011999999,-0.02522
0.023,-0.05045
0.034999999,-0.09257
0.034999999,-0.07567
0.045999999,-0.1178
0.045999999,-0.10089
0.068999999,-0.13444
0.068999999,-0.12598
0.102999999,-0.1594
0.102,-0.14249
0.148,-0.17577
0.147,-0.15887
0.192,-0.19214
0.192,-0.16679
0.237,-0.19161
0.237,-0.16626
0.293,-0.19095
0.293,-0.16559
0.336999999,-0.18197
0.347999999,-0.15648
0.404999999,-0.18117
0.415,-0.14723
0.471,-0.17192
0.482,-0.13798
0.549,-0.15409
0.571,-0.12001
0.639,-0.13612
0.648999999,-0.11063
0.716999999,-0.13519
0.739,-0.11802
0.817,-0.1509
0.851,-0.1505
0.919,-0.19197
0.963,-0.19989
0.998,-0.25866
1.041999999,-0.26658
1.077,-0.3338
1.122,-0.35863
1.166999999,-0.44262
1.234999999,-0.47563
1.268999999,-0.55976
1.336999999,-0.60122
1.359999999,-0.69393
1.438999999,-0.75217
1.450999999,-0.85346
1.518999999,-0.92028
1.532,-1.03003
1.6,-1.09685
1.612,-1.21505
1.68,-1.28187
1.693,-1.40852
1.761,-1.4838
1.773,-1.61045
1.829999999,-1.69431
1.842999999,-1.82096
1.899999999,-1.89637
1.912,-2.01457
1.969,-2.08152
1.959,-2.19999
2.005,-2.26707
2.006,-2.38541
2.04,-2.45263
2.097999999,-2.57029
2.153999999,-2.63725
2.199999999,-2.75505
2.234999999,-2.82227
2.259,-2.94879
2.293,-3.02446
2.328,-3.15085
2.362,-3.20961
2.431,-3.34405
2.465,-3.41973
2.522,-3.5374
2.568,-3.61294
2.602999999,-3.73932
2.637999999,-3.82345
2.683999999,-3.95815
2.728999999,-4.03369
2.808999999,-4.168
2.855,-4.26044
2.901,-4.39515
2.947,-4.48759
2.993,-4.6223
3.05,-4.71461
3.097,-4.84931
3.142999999,-4.94176
3.177999999,-5.08505
3.223999999,-5.17749
3.280999999,-5.32897
3.327,-5.42142
3.407,-5.57263
3.453,-5.67352
3.533,-5.82474
3.59,-5.9255
3.648,-6.07698
3.704999999,-6.17774
3.739999999,-6.33794
3.796999999,-6.4387
3.855,-6.59863
3.901,-6.70798
3.982,-6.91836
4.039,-7.03602
4.108,-7.19582
4.165,-7.31349
4.233999999,-7.48174
4.302999999,-7.60773
4.361,-7.77611
4.43,-7.95281
4.487,-8.07893
4.556,-8.25563
4.625,-8.39007
4.693999999,-8.56677
4.762999999,-8.75193
4.831999999,-8.87791
4.89,-9.0632
4.959,-9.20609
5.017,-9.39138
5.085,-9.53427
5.154999999,-9.71942
