x,y
0,0
0,0
0,0
0,-0.02536
0.011,-0.02522
0.011999999,-0.05903
0.022999999,-0.0589
0.022999999,-0.09271
0.034,-0.09258
0.034999999,-0.14329
0.056999999,-0.14302
0.057999999,-0.20219
0.079999999,-0.20192
0.080999999,-0.27799
0.103999999,-0.27773
0.105,-0.3707
0.148999999,-0.37017
0.151,-0.4716
0.183999999,-0.4712
0.186,-0.58953
0.23,-0.589
0.232,-0.72424
0.288,-0.72358
0.289999999,-0.88417
0.345,-0.88351
0.346999999,-1.0441
0.426,-1.04317
0.427999999,-1.22067
0.505999999,-1.21974
0.505999999,-1.21974
0.573,-1.21894
0.574999999,-1.39644
0.574999999,-1.39644
0.574999999,-1.39644
0.754,-1.39432
0.759,-1.79158
0.858999999,-1.79038
0.863999999,-2.22145
0.965,-2.22025
0.966999999,-2.44001
1.079,-2.43868
1.081999999,-2.67535
1.181999999,-2.67415
1.185,-2.91082
1.296999999,-2.90949
1.3,-3.17151
1.422999999,-3.17005
1.426,-3.44898
1.549,-3.44752
1.552999999,-3.73489
1.687,-3.7333
1.689999999,-4.02068
1.858,-4.01869
1.858,-4.01869
2.003,-4.01696
2.003,-4.01696
2.147999999,-4.01524
2.159,-4.93654
2.327,-4.93454
2.329999999,-5.23883
2.487,-5.23697
2.489999999,-5.54125
2.647,-5.53939
2.649999999,-5.86058
2.795999999,-5.85885
2.799,-6.18004
2.955999999,-6.17818
2.96,-6.49937
3.149999999,-6.49711
3.153,-6.8183
3.321,-6.81631
3.324999999,-7.1544
3.481,-7.15254
3.484999999,-7.49063
3.653,-7.48864
3.653,-7.48864
3.819999999,-7.48665
3.828,-8.15438
3.984999999,-8.15252
3.988999999,-8.49906
4.168,-8.49694
4.171999999,-8.82658
4.35,-8.82446
4.355,-9.17945
4.522,-9.17746
4.526,-9.54091
4.693999999,-9.53892
4.698,-9.89391
4.876999999,-9.89179
4.880999999,-10.25524
4.880999999,-10.25524
5.064999999,-10.62501
5.243,-10.62289
5.248,-10.98634
5.426,-10.98421
5.431,-11.35611
5.620999999,-11.35386
5.625,-11.72576
5.625,-11.72576
5.807999999,-12.09553
5.976,-12.09354
5.976,-12.09354
6.356,-12.08903
6.364999999,-12.86664
6.544,-12.86452
6.547999999,-13.24487
6.547999999,-13.24487
6.552999999,-13.62522
6.754,-13.62283
6.757999999,-14.01164
6.948,-14.00938
6.953,-14.40664
7.131999999,-14.40451
7.136,-14.79332
7.325999999,-14.79106
7.330999999,-15.16296
7.532,-15.16057
7.535999999,-15.54937
7.726,-15.54712
7.731,-15.94438
7.909999999,-15.94225
7.914,-16.3226
8.103999999,-16.32035
8.108999999,-16.70915
8.299,-16.70689
